week,most_viewed_film,weekly_views
"Aug. 9, 2020 - Aug. 15, 2020",F9,1.997
"Aug. 2, 2020 - Aug. 8, 2020",Judas and the Black Messiah,0.836
"Jul. 26, 2020 - Aug. 1, 2020",Honest Thief,0.376
"Jul. 19, 2020 - Jul. 25, 2020",The New Mutants,0.557
"Jul. 12, 2020 - Jul. 18, 2020",F9,0.703
"Jul. 5, 2020 - Jul. 11, 2020",F9,1.483
"Jun. 28, 2020 - Jul. 4, 2020",Respect,7.181
"Jun. 21, 2020 - Jun. 27, 2020",The King's Man,7.08
"Jun. 14, 2020 - Jun. 20, 2020",Tenet,9.491
"Jun. 7, 2020 - Jun. 13, 2020",Bill & Ted Face the Music,10.21
"May 31, 2020 - Jun. 6, 2020",Tenet,0.827
"May 24, 2020 - May 30, 2020",Tenet,2.25
"May 17, 2020 - May 23, 2020",Tenet,5.047
"May 10, 2020 - May 16, 2020",Unhinged,2.933
"May 3, 2020 - May 9, 2020",Black Widow,0.596
"Apr. 26, 2020 - May 2, 2020",F9,0.627
"Apr. 19, 2020 - Apr. 25, 2020",F9,0.451
"Apr. 12, 2020 - Apr. 18, 2020",Black Widow,0.419
"Apr. 5, 2020 - Apr. 11, 2020",Black Widow,0.472
"Mar. 29, 2020 - Apr. 4, 2020",Soul,0.531
"Mar. 22, 2020 - Mar. 28, 2020",Soul,0.602
"Mar. 15, 2020 - Mar. 21, 2020",Trolls World Tour,9.595
"Mar. 8, 2020 - Mar. 14, 2020",Black Widow,13.578
"Mar. 1, 2020 - Mar. 7, 2020",Candyman,5.822
"Feb. 23, 2020 - Feb. 29, 2020",Candyman,6.189
"Feb. 16, 2020 - Feb. 22, 2020",Run,7.251
"Feb. 9, 2020 - Feb. 15, 2020",Minions: The Rise of Gru,12.365
"Feb. 2, 2020 - Feb. 8, 2020",F9,22.479
"Jan. 26, 2020 - Feb. 1, 2020",F9,10.183
"Jan. 19, 2020 - Jan. 25, 2020",Gretel & Hansel,5.476
"Jan. 12, 2020 - Jan. 18, 2020",Morbius,12.749
"Jan. 5, 2020 - Jan. 11, 2020",Gretel & Hansel,8.64
"Dec. 29, 2019 - Jan. 4, 2020",A Quiet Place Part II,18.473
"Dec. 22, 2019 - Dec. 28, 2019",Tenet,6.669
"Dec. 15, 2019 - Dec. 21, 2019",Top Gun: Maverick,11.889
"Dec. 8, 2019 - Dec. 14, 2019",Wonder Woman 1984,22.394
"Dec. 1, 2019 - Dec. 7, 2019",Black Widow,33.25
"Nov. 24, 2019 - Nov. 30, 2019",Cats,3.507
"Nov. 17, 2019 - Nov. 23, 2019",Trolls World Tour,7.09
"Nov. 10, 2019 - Nov. 16, 2019",Scoob!,25.3
"Nov. 3, 2019 - Nov. 9, 2019",Jumanji: The Next Level,13.21
"Oct. 27, 2019 - Nov. 2, 2019",Jumanji: The Next Level,10.116
"Oct. 20, 2019 - Oct. 26, 2019",Star Wars: The Rise of Skywalker,24.326
"Oct. 13, 2019 - Oct. 19, 2019",Dolittle,20.393
"Oct. 6, 2019 - Oct. 12, 2019",Jungle Cruise,6.218
"Sep. 29, 2019 - Oct. 5, 2019",Birds of Prey,15.294
"Sep. 22, 2019 - Sep. 28, 2019",Frozen II,16.794
"Sep. 15, 2019 - Sep. 21, 2019",Ford v Ferrari,7.037
"Sep. 8, 2019 - Sep. 14, 2019",Frozen II,7.87
"Sep. 1, 2019 - Sep. 7, 2019",Bad Boys for Life,17.891
"Aug. 25, 2019 - Aug. 31, 2019",Joker,25.647
"Aug. 18, 2019 - Aug. 24, 2019",Bombshell,5.22
"Aug. 11, 2019 - Aug. 17, 2019",Frozen II,5.237
"Aug. 4, 2019 - Aug. 10, 2019",The Addams Family,8.336
"Jul. 28, 2019 - Aug. 3, 2019",Queen & Slim,4.482
"Jul. 21, 2019 - Jul. 27, 2019",A Beautiful Day in the Neighborhood,9.3
"Jul. 14, 2019 - Jul. 20, 2019",Top Gun: Maverick,17.316
"Jul. 7, 2019 - Jul. 13, 2019",Mulan,24.771
"Jun. 30, 2019 - Jul. 6, 2019",Jumanji: The Next Level,43.626
"Jun. 23, 2019 - Jun. 29, 2019",Trolls World Tour,9.438
"Jun. 16, 2019 - Jun. 22, 2019",Frozen II,9.099
"Jun. 9, 2019 - Jun. 15, 2019",Frozen II,26.27
"Jun. 2, 2019 - Jun. 8, 2019",Rambo: Last Blood,6.746
"May 26, 2019 - Jun. 1, 2019",Rambo: Last Blood,10.51
"May 19, 2019 - May 25, 2019",Toy Story 4,13.776
"May 12, 2019 - May 18, 2019",IT: Chapter Two,9.256
"May 5, 2019 - May 11, 2019",Spider-Man: Far From Home,61.183
"Apr. 28, 2019 - May 4, 2019",Sonic the Hedgehog,27.91
"Apr. 21, 2019 - Apr. 27, 2019",Hobbs & Shaw,17.452
"Apr. 14, 2019 - Apr. 20, 2019",Hobbs & Shaw,11.614
"Apr. 7, 2019 - Apr. 13, 2019",The Lion King,23.422
"Mar. 31, 2019 - Apr. 6, 2019",Joker,32.32
"Mar. 24, 2019 - Mar. 30, 2019",Dora and the Lost City of Gold,20.454
"Mar. 17, 2019 - Mar. 23, 2019",Toy Story 4,33.974
"Mar. 10, 2019 - Mar. 16, 2019",Avengers: Endgame,63.347
"Mar. 3, 2019 - Mar. 9, 2019",Shazam!,12.806
"Feb. 24, 2019 - Mar. 2, 2019",Pokémon Detective Pikachu,19.067
"Feb. 17, 2019 - Feb. 23, 2019",After,10.897
"Feb. 10, 2019 - Feb. 16, 2019",Frozen II,25.392
"Feb. 3, 2019 - Feb. 9, 2019",Hobbs & Shaw,18.211
"Jan. 27, 2019 - Feb. 2, 2019",Hobbs & Shaw,17.757
"Jan. 20, 2019 - Jan. 26, 2019",Shazam!,12.877
"Jan. 13, 2019 - Jan. 19, 2019",Spider-Man: Far From Home,44.576
"Jan. 6, 2019 - Jan. 12, 2019",The Prodigy,8.525
"Dec. 30, 2018 - Jan. 5, 2019",The Kid Who Would Be King,8.159
"Dec. 23, 2018 - Dec. 29, 2018",Us,9.869
"Dec. 16, 2018 - Dec. 22, 2018",Men in Black: International,10.47
"Dec. 9, 2018 - Dec. 15, 2018",Avengers: Endgame,25.01
"Dec. 2, 2018 - Dec. 8, 2018",Avengers: Endgame,53.674
"Nov. 25, 2018 - Dec. 1, 2018",The Lion King,19.392
"Nov. 18, 2018 - Nov. 24, 2018",The Lion King,34.148
"Nov. 11, 2018 - Nov. 17, 2018",Pokémon Detective Pikachu,42.713
"Nov. 4, 2018 - Nov. 10, 2018",The Secret Life of Pets 2,4.732
"Oct. 28, 2018 - Nov. 3, 2018",Isn't It Romantic,4.888
"Oct. 21, 2018 - Oct. 27, 2018",Bohemian Rhapsody,4.857
"Oct. 14, 2018 - Oct. 20, 2018",Aladdin,7.894
"Oct. 7, 2018 - Oct. 13, 2018",Aladdin,11.416
"Sep. 30, 2018 - Oct. 6, 2018",Spider-Man: Into the Spider-Verse,15.344
"Sep. 23, 2018 - Sep. 29, 2018",Dark Phoenix,13.695
"Sep. 16, 2018 - Sep. 22, 2018",Captain Marvel,35.138
"Sep. 9, 2018 - Sep. 15, 2018",Bad Times at the El Royale,3.244
"Sep. 2, 2018 - Sep. 8, 2018",Instant Family,6.317
"Aug. 26, 2018 - Sep. 1, 2018",Bad Times at the El Royale,5.365
"Aug. 19, 2018 - Aug. 25, 2018",Venom,1.885
"Aug. 12, 2018 - Aug. 18, 2018",What Men Want,4.103
"Aug. 5, 2018 - Aug. 11, 2018",Venom,5.413
"Jul. 29, 2018 - Aug. 4, 2018",Venom,26.967
"Jul. 22, 2018 - Jul. 28, 2018",Aquaman,29.709
"Jul. 15, 2018 - Jul. 21, 2018",Bohemian Rhapsody,9.85
"Jul. 8, 2018 - Jul. 14, 2018",The Darkest Minds,6.398
"Jul. 1, 2018 - Jul. 7, 2018",Skyscraper,6.903
"Jun. 24, 2018 - Jun. 30, 2018",The Predator,4.578
"Jun. 17, 2018 - Jun. 23, 2018",Creed II,12.528
"Jun. 10, 2018 - Jun. 16, 2018",Halloween,9.133
"Jun. 3, 2018 - Jun. 9, 2018",Bumblebee,18.603
"May 27, 2018 - Jun. 2, 2018",Disney's Christopher Robin,4.725
"May 20, 2018 - May 26, 2018",Mowgli,13.838
"May 13, 2018 - May 19, 2018",Bohemian Rhapsody,14.28
"May 6, 2018 - May 12, 2018",Deadpool 2,4.924
"Apr. 29, 2018 - May 5, 2018",Ant-Man and the Wasp,18.806
"Apr. 22, 2018 - Apr. 28, 2018",Venom,52.595
"Apr. 15, 2018 - Apr. 21, 2018",Incredibles 2,13.813
"Apr. 8, 2018 - Apr. 14, 2018",The Meg,10.652
"Apr. 1, 2018 - Apr. 7, 2018",Johnny English Strikes Again,7.032
"Mar. 25, 2018 - Mar. 31, 2018",Avengers: Infinity War,7.699
"Mar. 18, 2018 - Mar. 24, 2018",Avengers: Infinity War,26.956
"Mar. 11, 2018 - Mar. 17, 2018",Avengers: Infinity War,37.54
"Mar. 4, 2018 - Mar. 10, 2018",Ralph Breaks the Internet,7.706
"Feb. 25, 2018 - Mar. 3, 2018",Ralph Breaks the Internet,13.324
"Feb. 18, 2018 - Feb. 24, 2018",Incredibles 2,14.877
"Feb. 11, 2018 - Feb. 17, 2018",Incredibles 2,20.425
"Feb. 4, 2018 - Feb. 10, 2018",Jurassic World: Fallen Kingdom,20.775
"Jan. 28, 2018 - Feb. 3, 2018",Ant-Man and the Wasp,9.469
"Jan. 21, 2018 - Jan. 27, 2018",Pacific Rim: Uprising,6.259
"Jan. 14, 2018 - Jan. 20, 2018",Avengers: Infinity War,5.38
"Jan. 7, 2018 - Jan. 13, 2018",The Strangers: Prey at Night,10.817
"Dec. 31, 2017 - Jan. 6, 2018",Slender Man,5.64
"Dec. 24, 2017 - Dec. 30, 2017",Den of Thieves,4.587
"Dec. 17, 2017 - Dec. 23, 2017",Ocean's 8,8.417
"Dec. 10, 2017 - Dec. 16, 2017",Jurassic World: Fallen Kingdom,16.97
"Dec. 3, 2017 - Dec. 9, 2017",Jurassic World: Fallen Kingdom,23.53
"Nov. 26, 2017 - Dec. 2, 2017",Avengers: Infinity War,77.098
"Nov. 19, 2017 - Nov. 25, 2017",Incredibles 2,26.966
"Nov. 12, 2017 - Nov. 18, 2017",Rampage,10.534
"Nov. 5, 2017 - Nov. 11, 2017",Fifty Shades Freed,20.727
"Oct. 29, 2017 - Nov. 4, 2017",Murder on the Orient Express,4.82
"Oct. 22, 2017 - Oct. 28, 2017",The Commuter,3.009
"Oct. 15, 2017 - Oct. 21, 2017",Black Panther,10.64
"Oct. 8, 2017 - Oct. 14, 2017",Star Wars: The Last Jedi,31.484
"Oct. 1, 2017 - Oct. 7, 2017",Pacific Rim: Uprising,4.344
"Sep. 24, 2017 - Sep. 30, 2017",Maze Runner: The Death Cure,6.77
"Sep. 17, 2017 - Sep. 23, 2017",Tomb Raider,9.765
"Sep. 10, 2017 - Sep. 16, 2017",Fifty Shades Freed,6.393
"Sep. 3, 2017 - Sep. 9, 2017",Insidious: The Last Key,2.288
"Aug. 27, 2017 - Sep. 2, 2017",Super Troopers 2,2.058
"Aug. 20, 2017 - Aug. 26, 2017",IT,1.07
"Aug. 13, 2017 - Aug. 19, 2017",Molly's Game,3.047
"Aug. 6, 2017 - Aug. 12, 2017",mother!,6.22
"Jul. 30, 2017 - Aug. 5, 2017",Death Wish,4.925
"Jul. 23, 2017 - Jul. 29, 2017",Thor: Ragnarok,34.999
"Jul. 16, 2017 - Jul. 22, 2017",Kingsman: The Golden Circle,7.746
"Jul. 9, 2017 - Jul. 15, 2017",Birth of the Dragon,2.805
"Jul. 2, 2017 - Jul. 8, 2017",Jumanji: Welcome to the Jungle,9.606
"Jun. 25, 2017 - Jul. 1, 2017",Pitch Perfect 3,12.881
"Jun. 18, 2017 - Jun. 24, 2017",Annabelle: Creation,3.23
"Jun. 11, 2017 - Jun. 17, 2017",Black Panther,15.187
"Jun. 4, 2017 - Jun. 10, 2017",Black Panther,10.874
"May 28, 2017 - Jun. 3, 2017",The Nut Job 2,4.648
